frequency_mhz,ideal_matched_relative_db,finite_ports_ideal_coils_relative_db,finite_ports_Q50_relative_db,finite_ports_Q30_relative_db
6.250,-0.078,-1.125,-1.205,-1.257
26.250,-0.009,-0.500,-0.927,-1.212
35,-0.163,-0.649,-1.319,-1.766
40,-0.001,-0.460,-1.393,-2.013
46.250,-0.290,-0.685,-2.630,-3.843
48,-3.514,-3.628,-5.619,-6.848
50,-10.474,-10.529,-11.793,-12.645
53.750,-22.324,-22.540,-23.193,-23.656
60,-36.972,-37.343,-37.741,-38.025
75,-61.053,-61.547,-61.789,-61.963
83.500,-71.348,-71.869,-72.074,-72.222
100,-87.654,-88.202,-88.363,-88.482
