path,if2_frequency_mhz,inductor_q,budget_status,gain_db,nf_db,sensitivity_dbm,output_noise_dbm,adc_noise_margin_db,adc_fs_input_min_dsa_dbm,adc_fs_input_max_dsa_dbm
LOW_0.1_2.5,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,62.200,3.270,-84.709,-32.509,18.991,-55.200,-23.700
LOW_HF_OPTION_0.01_2.5,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,46.300,14.119,-73.861,-37.561,13.939,-39.300,-7.800
HIGH_A_2.3_4.2,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,58.700,3.671,-84.308,-35.609,15.891,-51.700,-20.200
HIGH_B_4.2_6.8,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,58.200,3.983,-83.997,-35.797,15.703,-51.200,-19.700
HIGH_C_6.8_9.2,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,58.300,4.033,-83.946,-35.647,15.853,-51.300,-19.800
HIGH_D_8.0_10,26.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,67.900,2.500,-85.480,-27.580,23.920,-60.900,-29.400
LOW_0.1_2.5,26.250,50,conditional_unverified_mixer_driver_gain_and_noise,61.773,3.271,-84.709,-32.936,18.564,-54.773,-23.273
LOW_HF_OPTION_0.01_2.5,26.250,50,conditional_unverified_mixer_driver_gain_and_noise,45.873,14.119,-73.860,-37.988,13.512,-38.873,-7.373
HIGH_A_2.3_4.2,26.250,50,conditional_unverified_mixer_driver_gain_and_noise,58.273,3.671,-84.308,-36.035,15.465,-51.273,-19.773
HIGH_B_4.2_6.8,26.250,50,conditional_unverified_mixer_driver_gain_and_noise,57.773,3.983,-83.996,-36.224,15.276,-50.773,-19.273
HIGH_C_6.8_9.2,26.250,50,conditional_unverified_mixer_driver_gain_and_noise,57.873,4.033,-83.946,-36.074,15.426,-50.873,-19.373
HIGH_D_8.0_10,26.250,50,conditional_unverified_mixer_driver_gain_and_noise,67.473,2.500,-85.480,-28.007,23.493,-60.473,-28.973
LOW_0.1_2.5,26.250,30,conditional_unverified_mixer_driver_gain_and_noise,61.488,3.271,-84.709,-33.221,18.279,-54.488,-22.988
LOW_HF_OPTION_0.01_2.5,26.250,30,conditional_unverified_mixer_driver_gain_and_noise,45.588,14.119,-73.860,-38.272,13.228,-38.588,-7.088
HIGH_A_2.3_4.2,26.250,30,conditional_unverified_mixer_driver_gain_and_noise,57.988,3.671,-84.308,-36.320,15.180,-50.988,-19.488
HIGH_B_4.2_6.8,26.250,30,conditional_unverified_mixer_driver_gain_and_noise,57.488,3.983,-83.996,-36.508,14.992,-50.488,-18.988
HIGH_C_6.8_9.2,26.250,30,conditional_unverified_mixer_driver_gain_and_noise,57.588,4.033,-83.946,-36.358,15.142,-50.588,-19.088
HIGH_D_8.0_10,26.250,30,conditional_unverified_mixer_driver_gain_and_noise,67.188,2.500,-85.480,-28.292,23.208,-60.188,-28.688
LOW_0.1_2.5,46.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,62.015,3.271,-84.709,-32.694,18.806,-55.015,-23.515
LOW_HF_OPTION_0.01_2.5,46.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,46.115,14.119,-73.861,-37.745,13.755,-39.115,-7.615
HIGH_A_2.3_4.2,46.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,58.515,3.671,-84.308,-35.793,15.707,-51.515,-20.015
HIGH_B_4.2_6.8,46.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,58.015,3.983,-83.996,-35.981,15.519,-51.015,-19.515
HIGH_C_6.8_9.2,46.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,58.115,4.033,-83.946,-35.831,15.669,-51.115,-19.615
HIGH_D_8.0_10,46.250,ideal,conditional_unverified_mixer_driver_gain_and_noise,67.715,2.500,-85.480,-27.764,23.736,-60.715,-29.215
LOW_0.1_2.5,46.250,50,conditional_unverified_mixer_driver_gain_and_noise,60.070,3.271,-84.709,-34.639,16.861,-53.070,-21.570
LOW_HF_OPTION_0.01_2.5,46.250,50,conditional_unverified_mixer_driver_gain_and_noise,44.170,14.120,-73.859,-39.689,11.811,-37.170,-5.670
HIGH_A_2.3_4.2,46.250,50,conditional_unverified_mixer_driver_gain_and_noise,56.570,3.672,-84.308,-37.738,13.762,-49.570,-18.070
HIGH_B_4.2_6.8,46.250,50,conditional_unverified_mixer_driver_gain_and_noise,56.070,3.984,-83.996,-37.926,13.574,-49.070,-17.570
HIGH_C_6.8_9.2,46.250,50,conditional_unverified_mixer_driver_gain_and_noise,56.170,4.034,-83.946,-37.776,13.724,-49.170,-17.670
HIGH_D_8.0_10,46.250,50,conditional_unverified_mixer_driver_gain_and_noise,65.770,2.500,-85.480,-29.710,21.790,-58.770,-27.270
LOW_0.1_2.5,46.250,30,conditional_unverified_mixer_driver_gain_and_noise,58.857,3.271,-84.708,-35.851,15.649,-51.857,-20.357
LOW_HF_OPTION_0.01_2.5,46.250,30,conditional_unverified_mixer_driver_gain_and_noise,42.957,14.121,-73.858,-40.901,10.599,-35.957,-4.457
HIGH_A_2.3_4.2,46.250,30,conditional_unverified_mixer_driver_gain_and_noise,55.357,3.672,-84.307,-38.950,12.550,-48.357,-16.857
HIGH_B_4.2_6.8,46.250,30,conditional_unverified_mixer_driver_gain_and_noise,54.857,3.984,-83.995,-39.138,12.362,-47.857,-16.357
HIGH_C_6.8_9.2,46.250,30,conditional_unverified_mixer_driver_gain_and_noise,54.957,4.034,-83.945,-38.988,12.512,-47.957,-16.457
HIGH_D_8.0_10,46.250,30,conditional_unverified_mixer_driver_gain_and_noise,64.557,2.500,-85.479,-30.922,20.578,-57.557,-26.057
